29,ALFA ROMEO,Brera,3.2 JTS V6 4x2,M6,3195,Petrol,16.4,7.9,11.0,17.2,35.8,25.7,260,1868,4,74.0,0.2,,0.1,0.0,,22 May 2008
30,ALFA ROMEO,Brera,3.2 JTS V6 Q4,M6,3195,Petrol,16.7,8.3,11.4,16.9,34.0,24.8,270,1936,4,73.0,0.7,,0.1,0.0,,22 May 2008
31,ALFA ROMEO,Brera,3.2 JTS V6 Q4 QTronic,A6,3195,Petrol,18.2,8.5,12.1,15.5,33.2,23.3,286,2060,4,71.0,0.4,,0.1,0.0,,22 May 2008
32,ALFA ROMEO,Brera,2.4 JTDM,M6,2387,Diesel,9.2,5.4,6.8,30.7,52.3,41.5,179,1315,4,72.0,0.2,0.2,,0.2,0.0,22 May 2008
33,ALFA ROMEO,Brera,2.4 JTDM QTronic,A6,2387,Diesel,11.4,5.8,7.9,24.8,48.7,35.8,208,1524,4,72.0,0.2,0.2,,0.2,0.0,22 May 2008
34,ALFA ROMEO,Spider,2.2 JTS,M6,2198,Petrol,12.8,7.1,9.2,22.1,39.8,30.7,218,1564,4,73.0,0.4,,0.1,0.0,,22 May 2008
35,ALFA ROMEO,Spider,3.2 JTS V6 4x2,M6,3195,Petrol,16.5,7.9,11.1,17.1,35.8,25.4,262,1890,4,74.0,0.2,,0.1,0.0,,22 May 2008
36,ALFA ROMEO,Spider,3.2 JTS V6 Q4,M6,3195,Petrol,16.9,8.4,11.5,16.7,33.6,24.6,272,1951,4,73.0,0.7,,0.1,0.0,,22 May 2008
37,ALFA ROMEO,Spider,3.2 JTS V6 Q4 QTronic,A6,3195,Petrol,18.4,8.6,12.2,15.4,32.8,23.2,288,2069,4,71.0,0.4,,0.1,0.0,,22 May 2008
38,ALFA ROMEO,Spider,2.4 JTDM,M6,2387,Diesel,9.2,5.4,6.8,30.7,52.3,41.5,179,1315,4,72.0,0.2,0.2,,0.2,0.0,22 May 2008
39,ALFA ROMEO,Spider,2.4 JTDM QTronic,A6,2387,Diesel,11.4,5.8,7.9,24.8,48.7,35.8,208,1524,4,72.0,0.2,0.2,,0.2,0.0,22 May 2008
40,ASTON MARTIN LAGONDA,DB9,Coupé & Convertible,M6,5935,Petrol,26.4,12.8,17.8,10.7,22.1,15.8,421,3038,4,75.0,0.6,,0.1,0.0,,09 March 2005
41,ASTON MARTIN LAGONDA,DB9,Coupé & Convertible,A6,5935,Petrol,24.9,11.7,16.5,11.3,24.1,17.1,394,2807,4,74.0,0.6,,0.1,0.0,,07 March 2008
42,ASTON MARTIN LAGONDA,DB9,Coupé & Convertible,M6,5935,Petrol,24.6,11.7,16.4,11.5,24.1,17.2,389,2791,4,75.0,0.3,,0.0,0.0,,16 April 2008
43,ASTON MARTIN LAGONDA,DB9,Coupé & Convertible,A6,5935,Petrol,24.1,10.6,15.6,11.7,26.6,18.1,368,2652,4,73.0,0.5,,0.1,0.0,,05 March 2009
44,ASTON MARTIN LAGONDA,DB9,Coupé & Convertible,A6,5935,Petrol,22.3,10.2,14.6,12.7,27.8,19.4,345,2475,4,73.0,0.7,,0.1,0.0,,19 August 2009
45,ASTON MARTIN LAGONDA,DBS,Coupé & Convertible,M6,5935,Petrol,24.3,11.7,16.4,11.6,24.1,17.2,388,2791,4,75.0,0.3,,0.0,0.0,,05 March 2009
46,ASTON MARTIN LAGONDA,DBS,Coupé & Convertible,A6,5935,Petrol,24.2,10.5,15.5,11.7,26.9,18.2,367,2638,4,74.0,0.3,,0.0,0.0,,05 March 2009
47,ASTON MARTIN LAGONDA,V8 Vantage,Hatchback & Convertible,ASM ,4282,Petrol,23.2,10.4,15.1,12.2,27.1,18.7,360,2567,4,74.0,0.7,,0.1,0.0,,30 April 2008
48,ASTON MARTIN LAGONDA,V8 Vantage,Hatchback & Convertible,M6,4282,Petrol,22.5,10.6,15.0,12.5,26.6,18.8,358,2553,4,74.0,0.5,,0.1,0.0,,30 April 2008
49,ASTON MARTIN LAGONDA,V8 Vantage,N400 Hatchback & Convertible,ASM ,4282,Petrol,23.2,10.4,15.1,12.2,27.1,18.7,360,2567,4,74.0,0.7,,0.1,0.0,,30 April 2008
50,ASTON MARTIN LAGONDA,V8 Vantage,N400 Hatchback & Convertible,M6,4282,Petrol,22.5,10.6,15.0,12.5,26.6,18.8,358,2553,4,74.0,0.5,,0.1,0.0,,30 April 2008
51,ASTON MARTIN LAGONDA,V8 Vantage,Hatchback & Convertible,ASM ,4735,Petrol,19.4,9.6,13.2,14.6,29.5,21.4,312,2243,4,74.0,0.8,,0.1,0.0,,30 April 2008
52,ASTON MARTIN LAGONDA,V8 Vantage,Hatchback & Convertible,M6,4735,Petrol,19.9,10.4,13.9,14.2,27.3,20.4,328,2353,4,75.0,0.8,,0.1,0.0,,30 April 2008
53,ASTON MARTIN LAGONDA,V8 Vantage,Hatchback & Convertible,ASM ,4735,Petrol,18.7,9.2,12.7,15.1,30.7,22.2,300,2162,4,74.0,0.8,,0.1,0.0,,29 June 2009
54,ASTON MARTIN LAGONDA,V8 Vantage,Hatchback & Convertible,M6,4735,Petrol,19.1,10.0,13.3,14.8,28.3,21.2,315,2264,4,75.0,0.8,,0.1,0.0,,29 June 2009
55,ASTON MARTIN LAGONDA,V12 Vantage,Hatchback,M6,5935,Petrol,24.3,11.7,16.4,11.6,24.1,17.2,388,2791,4,75.0,0.3,,0.0,0.0,,01 June 2009
56,AUDI,A3,1.4 TFSI 125ps,M6,1390,Petrol,7.8,4.9,5.9,36.2,57.6,47.9,140,1002,4,73.0,0.4,,0.0,0.0,,02 September 2008
57,AUDI,A3,1.6 102ps,M5,1595,Petrol,9.5,5.3,6.8,30.1,53.3,41.5,162,1157,4,70.0,0.8,,0.1,0.0,,19 March 2009
58,AUDI,A3,1.8 TFSI 160ps,M6,1781,Petrol,9.1,5.3,6.7,31.0,53.3,42.2,159,1138,4,74.0,0.3,,0.0,0.0,,22 September 2008
59,AUDI,A3,2.0 TFSI 200ps,M6,1984,Petrol,9.8,5.7,7.2,28.8,49.6,39.2,171,1225,4,71.0,0.2,,0.0,0.0,,22 September 2008
60,AUDI,A3,2.0 TFSI 200ps quattro S-Tronic,D6,1984,Petrol,9.9,6.1,7.5,28.5,46.3,37.7,178,1273,4,71.0,0.2,,0.0,0.0,,17 July 2008
61,AUDI,A3,1.9 e TDI 105PS with DPF,M5,1896,Diesel,5.8,3.8,4.5,48.7,74.3,62.8,119,869,4,71.0,0.1,0.2,,0.2,0.0,23 November 2007
62,AUDI,A3,1.9 TDI 105ps,M5,1896,Diesel,6.6,4.2,5.1,42.8,67.3,55.4,135,985,4,71.0,0.1,0.2,,0.2,0.0,23 May 2008
63,AUDI,A3,2.0 TDI 140ps DPF,M6,1968,Diesel,6.7,4.2,5.1,42.2,67.3,55.4,134,985,4,74.0,0.3,0.2,,0.1,0.0,19 March 2009
64,AUDI,A3,2.0 TDI 140ps S-tronic with DPF,D6,1968,Diesel,7.2,4.4,5.4,39.2,64.2,52.3,143,1043,4,70.0,0.1,0.1,,0.1,0.0,29 January 2009
65,AUDI,A3,2.0 TDI 170ps with DPF,M6,1968,Diesel,7.7,4.5,5.7,36.7,62.8,49.6,151,1100,4,74.0,0.1,0.2,,0.2,0.0,23 May 2008
66,AUDI,A3,2.0 TDI 170ps quattro with DPF,QM6,1968,Diesel,8.5,5.1,6.4,33.2,55.4,44.1,173,1237,4,74.0,0.0,0.2,,0.2,0.0,23 May 2008
67,AUDI,A3 Sportback,1.4 TFSI 125ps,M6,1390,Petrol,7.9,5.0,6.0,35.8,56.5,47.1,143,1019,4,73.0,0.4,,0.0,0.0,,02 September 2008
68,AUDI,A3 Sportback,1.6 102ps,M5,1595,Petrol,9.5,5.4,6.9,29.7,52.3,40.9,164,1174,4,70.0,0.8,,0.1,0.0,,19 March 2009
69,AUDI,A3 Sportback,1.6 102ps 7speed S-Tronic,D7,1595,Petrol,9.4,5.1,6.7,30.1,55.4,42.2,159,1138,4,72.0,0.2,,0.0,0.0,,19 March 2009
70,AUDI,A3 Sportback,1.8 TFSI 160ps,M6,1781,Petrol,9.1,5.4,6.7,31.0,52.3,42.2,159,1138,4,74.0,0.4,,0.1,0.0,,22 September 2008
71,AUDI,A3 Sportback,2.0 TFSI 200ps,M6,1984,Petrol,9.9,5.6,7.2,28.5,50.4,39.2,171,1225,4,73.0,0.4,,0.0,0.0,,22 September 2008
72,AUDI,A3 Sportback,2.0 TFSI 200ps quattro S-Tronic,D6,1984,Petrol,10.0,6.2,7.6,28.2,45.6,37.2,180,1290,4,71.0,0.2,,0.0,0.0,,22 September 2008
73,AUDI,A3 Sportback,1.9 e TDI 105PS with DPF,M5,1896,Diesel,5.8,3.8,4.5,48.7,74.3,62.8,119,869,4,71.0,0.1,0.2,,0.2,0.0,23 November 2007
74,AUDI,A3 Sportback,1.9 TDI 105ps,M5,1896,Diesel,6.6,4.2,5.1,42.8,67.3,55.4,135,985,4,71.0,0.1,0.2,,0.2,0.0,22 September 2008
75,AUDI,A3 Sportback,2.0 TDI 140ps DPF,M6,1968,Diesel,6.7,4.2,5.1,42.2,67.3,55.4,134,985,4,74.0,0.3,0.2,,0.1,0.0,19 March 2009
76,AUDI,A3 Sportback,2.0 TDI 140ps S-tronic with DPF,D6,1968,Diesel,7.2,4.4,5.4,39.2,64.2,52.3,143,1043,4,70.0,0.1,0.1,,0.1,0.0,29 January 2009
77,AUDI,A3 Sportback,2.0 TDI 170ps with DPF,M6,1968,Diesel,7.7,4.5,5.7,36.7,62.8,49.6,151,1100,4,74.0,0.1,0.2,,0.2,0.0,23 May 2008
78,AUDI,A3 Sportback,2.0 TDI 170ps quattro with DPF,QM6,1968,Diesel,8.5,5.1,6.4,33.2,55.4,44.1,173,1237,4,74.0,0.0,0.2,,0.2,0.0,23 May 2008
