78,AUDI,A3 Sportback,2.0 TDI 170ps quattro with DPF,44.1,173
79,AUDI,A3 Cabriolet,1.6 102PS,40.4,167
80,AUDI,A3 Cabriolet,1.8 TFSI 160PS,38.7,174
81,AUDI,A3 Cabriolet,1.8 TFSI 160PS S-Tronic,37.2,180
82,AUDI,A3 Cabriolet,2.0 TFSI 200PS,37.2,182
83,AUDI,A3 Cabriolet,2.0 TFSI 200PS S-Tronic,37.2,181
84,AUDI,A3 Cabriolet,1.9 TDI 105PS with DPF,55.4,134
85,AUDI,A3 Cabriolet,2.0 TDI 140PS with DPF,53.3,139
86,AUDI,A3 Cabriolet,2.0 TDI 140PS S-Tronic with DPF,50.4,148
87,AUDI,A4 Saloon,1.8 T 163ps,34.9,192
88,AUDI,A4 Saloon,1.8 T 163ps Multitronic,34.0,199
89,AUDI,A4 Saloon,1.8 T 163ps quattro,31.4,216
90,AUDI,A4 Saloon,2.0 130ps,34.4,193
91,AUDI,A4 Saloon,2.0 130ps Multitronic,35.3,191
92,AUDI,A4 Saloon,2.0 TFSI 200ps,36.7,184
93,AUDI,A4 Saloon,2.0 TFSI 200ps Multitronic,34.9,194
94,AUDI,A4 Saloon,2.0 TFSI 200ps quattro,32.1,209
95,AUDI,A4 Saloon,2.0 TFSI 200ps quattro Tiptronic,30.1,224
96,AUDI,A4 Saloon,2.0 TFSI 220ps Special Edition,35.3,192
97,AUDI,A4 Saloon,2.0 TFSI 220ps quattro Special Edition,31.4,214
98,AUDI,A4 Saloon,3.2 V6 FSI 256ps Multitronic,29.7,225
99,AUDI,A4 Saloon,3.2 V6 FSI 256ps quattro,26.9,250
100,AUDI,A4 Saloon,3.2 V6 FSI 256ps quattro Tiptronic,26.6,252
101,AUDI,A4 Saloon,1.9 TDI 115ps,49.6,152
102,AUDI,A4 Saloon,2.0 TDI 140ps,49.6,151
103,AUDI,A4 Saloon,2.0 TDI 140ps Multitronic,45.6,164
104,AUDI,A4 Saloon,2.0 TDI 170ps with DPF,48.7,154
105,AUDI,A4 Saloon,2.0 TDI 170ps quattro with DPF,42.2,177
106,AUDI,A4 Saloon,2.7 V6 TDI 180ps with DPF,42.2,179
107,AUDI,A4 Saloon,2.7 V6 TDI 180ps Multitronic with DPF,41.5,179
108,AUDI,A4 Saloon,3.0 V6 TDI 233ps quattro,37.7,198
109,AUDI,A4 Saloon,3.0 V6 TDI 233ps quattro Tiptronic,34.4,219
110,AUDI,New A4 Saloon,1.8 TFSI 120PS,39.8,169
111,AUDI,New A4 Saloon,1.8 TFSI 160PS,39.2,172
112,AUDI,New A4 Saloon,1.8 TFSI 160PS Multitronic,37.2,179
113,AUDI,New A4 Saloon,2.0 TFSI 180PS,42.8,154
114,AUDI,New A4 Saloon,2.0 TFSI 180PS Multitronic,39.8,167
115,AUDI,New A4 Saloon,2.0 TFSI 210PS,42.8,154
116,AUDI,New A4 Saloon,2.0 TFSI 210PS Multitronic,42.8,154
117,AUDI,New A4 Saloon,2.0 TFSI quattro 210PS,38.2,173
